Relocated Date,Make,Color,Plate,State,Relocated From Address Number,Relocated From Street Direction,Relocated From Street Name,Relocated From Suffix,Relocated To Address Number,Relocated To Direction,Relocated To Street Name,Relocated To Suffix,Relocated Reason,Service Request Number
06/11/2015 10:30:00 AM,Honda,Blue,E715975,Illinois,5231.0,S,WOODLAWN,AVE,1156,E,50TH STREET,,Other,15-02637390
06/11/2015 10:30:00 AM,Mitsubishi,Gray,R653023,Illinois,2929.0,N,COMMONWEALTH,AVE,3929,N,RECREATION,,CDOT Street Resurfacing,15-02637272
06/11/2015 10:30:00 AM,Toyota,Silver,6592260,Illinois,2915.0,S,ARCH,ST,3034,S,LYMAN,,Peoples Gas,15-02637403
06/11/2015 10:25:00 AM,Honda,Maroon,4679669,Illinois,5105.0,N,LECLAIRE,AVE,5053,W,LEMOYNE,,Other,15-02637775
06/11/2015 10:15:00 AM,Nissan,Maroon,E685625,Illinois,1540.0,N,LOREL,AVE,1536,N,LOREL,,Other,15-02636480
06/11/2015 10:12:00 AM,Ford,Black,V327763,Illinois,2749.0,N,MAJOR,AVE,2725,N,MAJOR,,Other,15-02636573
06/11/2015 10:01:00 AM,Toyota,Gray,P994805,Illinois,5700.0,W,DIVERSEY,AVE,5704,W,DIVERSEY,,Other,15-02636572
06/11/2015 10:00:00 AM,Nissan,Black,S451631,Illinois,24.0,S,MORGAN,ST,400,E,WACKER DRIVE LOWER LEVEL,,Water Management,15-02636471
06/11/2015 09:50:00 AM,Acura,Gray,E362376,Illinois,5843.0,S,ARTESIAN,AVE,5845,S,CAMPBELL,,Water Management,15-02636555
06/11/2015 09:50:00 AM,Nissan,Blue,V272694,Illinois,2642.0,N,CALIFORNIA,AVE,2603,N,CALIFORNIA,,Forestry,15-02636029
06/11/2015 09:45:00 AM,Toyota,Black,V733272,Illinois,1530.0,N,LONG,AVE,1610,N,LONG,,Other,15-02636112
06/11/2015 09:40:00 AM,Honda,White,V875954,Illinois,1500.0,W,THORNDALE,AVE,5942,N,GREENVIEW,,CDOT Street Resurfacing,15-02635870
06/11/2015 09:37:00 AM,Chevrolet,Beige,E354645,Illinois,234.0,E,97TH,ST,9650,S,PRAIRIE,,Water Management,15-02635833
06/11/2015 09:30:00 AM,Ford,Brown,S750321,Illinois,3019.0,W,FULLERTON,AVE,3026,W,FULLERTON,,Forestry,15-02636028
06/11/2015 09:25:00 AM,Nissan,Silver,A898831,Illinois,2200.0,S,LAKE SHORE,DR,1800,S,LAKESHORE DR,,Accident,15-02635616
06/11/2015 09:05:00 AM,Honda,Black,A408367,Illinois,2306.0,N,SAWYER,AVE,2320,N,SAWYER,,Forestry,15-02636027
06/11/2015 09:04:00 AM,Mercedes,Gray,3283110,Illinois,6206.0,S,NARRAGANSETT,AVE,6405,W,62ND,,CDOT Street Resurfacing,15-02634687
06/11/2015 08:55:00 AM,Pontiac,Red,5295437,Illinois,2344.0,N,SAWYER,AVE,2334,N,SAWYER,,Forestry,15-02636026
06/11/2015 08:48:00 AM,Hyundai,White,8535979,Illinois,6040.0,S,NARRAGANSETT,AVE,6454,W,61ST,,CDOT Street Resurfacing,15-02634318
06/11/2015 08:45:00 AM,Chevrolet,Gray,8754002,Illinois,5435.0,,NORTH AVE,AV,5533,W,NORTH  AVE,,Other,15-02634186
06/11/2015 08:43:00 AM,Ford,Red,128S410,Illinois,5033.0,W,CULLOM,AVE,5105,W,CULLOM,,Water Management,15-02633679
